review_id,review_title,review_comment,review_star_rating,review_link,review_author_id,review_author,review_author_url,review_author_avatar,review_images,review_video,review_date,is_verified_purchase,helpful_vote_statement,reviewed_product_asin,is_vine
R3IP3AW6JCCIH6,EXCELLENT PHONE & BEYOND AMAZING SELLER/CUSTOMER SERVICE!!!,"I honestly can’t say enough amazing things about my experience buying a renewed iPhone 11 from this seller and dealing with their customer service! I would 1000/10 recommend anyone and everyone even considering purchasing a phone from them to absolutely do so because you won’t be disappointed!!! But read below for the full story/review, both good and bad opinions.

My oldest daughter dropped her iPhone XR in the toilet and it completely died. This seller had the best priced renewed iPhone I found with next day delivery and good reviews, so I purchased the phone. It was my first time buying a phone that wasn’t brand new, so I was nervous about what condition the phone and battery would be in.

The phone was sent via UPS, which I didn’t love because they left the package at the gate on the street instead of driving into our ranch and delivering it to our house in the back corner like Amazon and USPS do. Not to mention it was supposed to be here between by like 1:45 or 2:45 and they didn’t deliver it until 10pm! But that’s an issue with UPS, not the seller.

When we opened the package I was pleased to see that there were very minimal dents or scuff marks on the phone and it appeared to be in really good condition. One thing I wasn’t pleased with was the fact that the phone arrived dead. I worried that meant the battery wasn’t great, but I was wrong. After charging for a bit I checked the battery health and it was 100%, so they clearly installed a brand new battery! I was really happy with my purchase, but upon setting up the phone I noticed there was this awful high pitched screech/glitching sound coming from the speaker, so I reached out to the seller to try and get a replacement sent instead of going thru the hassle and delay of returning it and having to order a new one once the refund posted.

The seller responded almost immediately (they did so every single time we communicated over the course of a week, even when I reached out at almost 8pm their time!) and offered to send me the shipping label and then they’d overnight a replacement to me once they received the phone. I asked them if I could pay to overnight the phone to them so there wouldn’t be as long of a wait without a phone, and they said they would do me one better and as soon as I took the phone to the post office to send them a copy of my receipt and they’d overnight me the replacement then! This took place on a Friday and I didn’t want the shipping delay the weekend would cause, so I told them I’d reach out Monday for the shipping label and that I had out a brand new screen protector on the phone when I got it so I’d be sending it back with it on.

Life got hectic and I didn’t reach out until Thursday afternoon, but they quickly sent me the shipping label. When trying to wipe the phone there was an hour delay because stolen phone protection was on, so I missed making it to the post office by like 6 mins and had to go Friday morning instead.

I went to the post office and all was well until I mentioned that there was a phone in the package when I asked them for extra tape, and she said they couldn’t ship a used phone via priority mail (only new never used phones) so I needed to have them send me a hazardous shipping label instead. When I told the seller they offered to send me a new label, but I chose to try another post office first and just not mention the contents of the package because the battery WAS brand new, and I didn’t want to go thru the hassle of sending the label somewhere to be printed since I don’t have a printer, going there and paying to have it printed, and then going back to the post office. I took it to another post office nearby and had zero issues sending it.

When I got back to the car I sent them a copy of the receipt, and true to their word within only like 5-10 minutes they had already send me the tracking information for the replacement shipment and let me know they put a screen protector on the new phone for me! Of course there were issues with UPS again including a delay that showed it wasn’t going to come until Monday, but thankfully it arrived on Saturday like it was supposed to, and fairly early (10-11am).

When I opened the replacement package and inspected the phone I was SHOCKED! I thought the first phone was is great condition, but this one looked BRAND NEW! There wasn’t a single scratch or dent or scuff or any abnormality on the exterior of the phone! It’s also worth noting that the phone wasn't dead this time, it was midway charged. I checked the battery health again and it was also 100%! I tested out the speaker and there were no issues with the phone whatsoever. Honestly if you put it side by side with a brand new phone nobody could tell the difference, and it was a fraction of the cost of a new phone!

I also reached out to the seller a few days later for a friend of mine to see if they also sold Androids and they were super helpful in getting me the info I was looking for!

Between the phenomenal condition of the phone and the excellent customer service, I won't buy a renewed phone from anyone else in the future when one of my daughters inevitably break their phone! This was honestly the best experience I've ever had with a seller/replacement item on Amazon in the 15+ years I've used the site!",5,https://www.amazon.com/gp/customer-reviews/R3IP3AW6JCCIH6,AGV4EJPKXIBH34HA77QD7KJF4SCQ,Chely,https://www.amazon.com/gp/profile/amzn1.account.AGV4EJPKXIBH34HA77QD7KJF4SCQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",[],,"Reviewed in the United States on September 18, 2024",True,119 people found this helpful,B07ZPKN6YR,False
R1TFJYCE0QT5H2,"In summary: useful, reliable, and unbeatable quality. Highly recommended.","I bought the iPhone 11 on Amazon and it honestly exceeded all my expectations. The item arrived in perfect condition, well-packaged, and within the estimated delivery time. From the first use, the phone felt fast, smooth, and the display quality was excellent.

The camera is simply outstanding, especially for well-lit photos or portrait mode shots. The battery lasts a long time, and the operating system runs flawlessly. Plus, the design still looks modern and sleek, even though it’s not the newest model.

The best part was the value for the price. Compared to other stores, I found a deal on Amazon that was truly worth it. For what I paid, there’s no other phone that offers as much.

In summary: useful, reliable, and unbeatable quality. Highly recommended.",5,https://www.amazon.com/gp/customer-reviews/R1TFJYCE0QT5H2,AH4E6QWPDX6GBOLQGZTPAIMCERWA,Ismaray Hernández Machado,https://www.amazon.com/gp/profile/amzn1.account.AH4E6QWPDX6GBOLQGZTPAIMCERWA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",[],,"Reviewed in the United States on August 1, 2025",True,,B07ZPKN6YR,False
RZFQYMPHBD1TO,Impressive!,"I was a little nervous about buying a used iPhone 11, but this one came in excellent condition. The screen is clean with barely any scratches, and the battery life is surprisingly good. Everything works just like new — Face ID, camera, apps, and calls. For the price, it’s a great deal. Really happy with the purchase👍",5,https://www.amazon.com/gp/customer-reviews/RZFQYMPHBD1TO,AFD25JLWW623Y5UIWZ5JR2VXY35Q,Shawnett Shand,https://www.amazon.com/gp/profile/amzn1.account.AFD25JLWW623Y5UIWZ5JR2VXY35Q/ref=cm_cr_getr_d_gw_btm?ie=UTF8,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",[],,"Reviewed in the United States on July 24, 2025",True,3 people found this helpful,B07ZPJJPDN,False
R397MZVJXW7B2Q,Phone is great! Shipping & setup frustrating,"The renewed iPhone 11 itself is in great condition. Battery health is at 91% and came with a screen protector. It’s been 2 weeks since setup completed and so far the phone is functioning as if it is new.

[Edited to add:  After 1 month, the screen protector cracked twice. It has protected the main screen, but it is not that durable itself. The screen protector on my old phone went a year without cracking.]

My issues are with 1) shipping and 2) setup.
1) Shipping:  Amazon said it would arrive on a specific date (3 days from time of order) and would require signature. Well, it was delivered a day early and left at the gate (that is always open), not at my house/door, and no one signed for it. The issue is that the gate is next to a public park, not secure at all and gets a fair amount of foot traffic. We had no idea they delivered it a day early and  anyone could have walked by and taken it. Normally we’d be excited about packages arriving a day early, but this was a high $ item, left in a public area. Thankfully my husband left the house to run an errand and saw it by the gate. Unknown how long it was sitting there.

2) Setup took nearly 2 weeks and at least 15 times restating the setup process. It would get a little further in the process each time, then an issue would arise or would lock up and would require to start over again. Our rural town does not have high speed internet so went into town to use Starbucks WiFi & it was not enough to do what was needed. Ended up at a friend’s house but after 2 hrs I had to leave for appointments & errands. First issue, before I could do anything, the new iPhone requires an iOS update. It took 2 hrs to update the iOS on this new phone. Then it got stuck installing it, so had to install/uninstall it 4 separate times. Ended up going on a pre planned trip to see family in a big city and the internet at their house was like night and day. I was able to do the entire setup that weekend, but still had issues & had to call Apple for help. The whole set up process was soooo frustrating, infuriating, and disappointing that it took so long and was not as easy as they make it out to be. & Im good at troubleshooting electronic issues and researching resolutions. One thing I noticed is much of the troubleshooting advice online was outdated, even on the apple help website. Hope others have an easier time with setup.",4,https://www.amazon.com/gp/customer-reviews/R397MZVJXW7B2Q,AF5X3FEWZIKP5MXF23CSVCCIMRYA,TreeSaw R,https://www.amazon.com/gp/profile/amzn1.account.AF5X3FEWZIKP5MXF23CSVCCIMRYA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",[],,"Reviewed in the United States on October 18, 2023",True,61 people found this helpful,B084GXMHBQ,False
R38CBRHGCAKFJQ,Good quality,"The iPhone is one of the best smartphones on the market. It has a sleek design, is easy to use, and runs smoothly thanks to Apple’s iOS system. The camera takes clear and sharp photos, even in low light. Battery life is good enough for a full day of regular use.",5,https://www.amazon.com/gp/customer-reviews/R38CBRHGCAKFJQ,AG64ABYSLJE5WIBXAW3IWLWBXUXQ,Jolet altidor,https://www.amazon.com/gp/profile/amzn1.account.AG64ABYSLJE5WIBXAW3IWLWBXUXQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",[],,"Reviewed in the United States on July 26, 2025",True,One person found this helpful,B07ZPKN6YR,False
R1QDUICOPZFRVX,Amazing!!!!,"Amazing. It’s shipped so fast. The quality, functionality, and screen protection are like it was brand new. It is easy to use. It looks brand new like when it first came out. I think it’s good value for what I paid for it.",5,https://www.amazon.com/gp/customer-reviews/R1QDUICOPZFRVX,AHBKMTZDX7CAWYCRQ47QWVHXGMCA,Aaliyah Bandi,https://www.amazon.com/gp/profile/amzn1.account.AHBKMTZDX7CAWYCRQ47QWVHXGMCA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/d8da6c4f-030a-43e9-9ac9-25ec09213ed5._CR0,0,500,500_SX48_.jpg",[],,"Reviewed in the United States on July 29, 2025",True,One person found this helpful,B07ZPKBL9V,False
R6SUWQUI9WMCP,Awesome looks brand new,"⭐️⭐️⭐️⭐️⭐️ Amazing Quality – Bought Two and Both Were Perfect!

I originally bought one of these refurbished iPhone 11s (64GB, green, unlocked) on Amazon and was seriously impressed. It looked brand new — not a single scratch — and everything worked perfectly right out of the box. I ended up gifting that first one to my daughter, and she absolutely loves it. No issues at all.

Because the first one was such a great buy, I decided to order another and gift it to my niece. Same experience again — flawless condition, beautifully packaged, and fully functional. No defects, no problems, just a great phone at a great price.

If you’re on the fence about getting a refurbished iPhone on Amazon, this is 100% worth it. Great value, great quality, and you really can’t tell it’s not new. Highly recommend!",5,https://www.amazon.com/gp/customer-reviews/R6SUWQUI9WMCP,AFFHTPCTKT6RPDWN52BPHPOQ2PYQ,J. Sina,https://www.amazon.com/gp/profile/amzn1.account.AFFHTPCTKT6RPDWN52BPHPOQ2PYQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",[],,"Reviewed in the United States on May 31, 2025",True,8 people found this helpful,B07ZPHSHPG,False
RJ89PZXCLBMRG,Very happy love it,Great phone perfect condition but Battery only 83% gonna have to replace the battery but I love the phone ,4,https://www.amazon.com/gp/customer-reviews/RJ89PZXCLBMRG,AHI4CAKHK3QAHMJKWGHRJ5TUZLXQ,Amazon Customer,https://www.amazon.com/gp/profile/amzn1.account.AHI4CAKHK3QAHMJKWGHRJ5TUZLXQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",[],,"Reviewed in the United States on June 24, 2025",True,One person found this helpful,B07ZPKR714,False
R3LR8JB5B6I0ZF,iPhone,"I can honestly say I'm not fond of the phone my wife just got but she got it because she keeps getting infected with all kinds of things and the last time totally destroyed her phone.
We heard that the iPhones are not easy to infect with anything so I got her this phone and it turned out to be a nightmare.
We found out that she is unable to transfer her contacts or her pictures from her Samsung because iPhone just won't have it.
Not to mention the fact that there are a lot of apps that we had before on her pass phone but now she has to pay for!?!?",4,https://www.amazon.com/gp/customer-reviews/R3LR8JB5B6I0ZF,AG2R5YUB7B36QNPRDCQV6FTWFYDA,Ronald Ganczak,https://www.amazon.com/gp/profile/amzn1.account.AG2R5YUB7B36QNPRDCQV6FTWFYDA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",[],,"Reviewed in the United States on July 26, 2025",True,,B07ZPKR714,False
R4DAL2OZCRAF8,76% battery capacity,"Although the phone is in mint condition, I’m talking no cracks or scratches. No visible damage. Runs smoothly, I  transferred my other phone over it was a smooth process, although it did fail one time. Overall, runs nice and doesn’t give me trouble. My only concern was the battery life, it came at 76%. Its been almost two weeks since my purchase, no complaints except that. I switched my sim card over from my other phone too, no problems or concerns there, it shows up as unlocked. I love the Iphone 11 and it was a deal to get an extra 128gb of storage too. I just hate that I’ll have to get the battery replaced, didn’t plan on investing in this phone so soon. Because when I charge it when it gets to a low percentage, it kind of fluctuates before the percentage starts to go up and thats a little annoying. As you can see tho, it can get to full charge no issue except that. So overall, I’m happy with my purchase, its more than I expected at least.",4,https://www.amazon.com/gp/customer-reviews/R4DAL2OZCRAF8,AGEJNGOZEJNDVUL73GVIAIB7BDMA,Tanea,https://www.amazon.com/gp/profile/amzn1.account.AGEJNGOZEJNDVUL73GVIAIB7BDMA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",['https://m.media-amazon.com/images/I/612KUieBOiL.jpg'],,"Reviewed in the United States on June 6, 2025",True,11 people found this helpful,B07ZPJ58KN,False
